timestamp,price
2025-06-03T22:11:19.415721,166.72
2025-06-03T22:11:20.416694,166.73
2025-06-03T22:11:21.418085,166.73
2025-06-03T22:11:22.419253,166.73
2025-06-03T22:11:23.420431,166.73
2025-06-03T22:11:24.422056,166.73
2025-06-03T22:11:25.424622,166.73
2025-06-03T22:11:26.426935,166.73
2025-06-03T22:11:27.428061,166.73
2025-06-03T22:11:28.429603,166.73
2025-06-03T22:11:29.430903,166.73
2025-06-03T22:11:30.432553,166.73
2025-06-03T22:11:31.433833,166.73
2025-06-03T22:11:32.435315,166.74
2025-06-03T22:11:33.436522,166.74
2025-06-03T22:11:34.440772,166.74
2025-06-03T22:11:35.444023,166.74
2025-06-03T22:11:36.446624,166.74
2025-06-03T22:11:37.448039,166.74
2025-06-03T22:11:38.450261,166.74
2025-06-03T22:11:39.451584,166.74
2025-06-03T22:11:40.452786,166.74
2025-06-03T22:11:41.454555,166.76
2025-06-03T22:11:42.456797,166.76
2025-06-03T22:11:43.458514,166.76
2025-06-03T22:11:44.460428,166.76
2025-06-03T22:11:45.463092,166.76
2025-06-03T22:11:46.464599,166.76
2025-06-03T22:11:47.465843,166.76
2025-06-03T22:11:48.467476,166.76
